month,team_unlocked,vc_unlocked,presale_unlocked,community_unlocked,airdrop_unlocked,market_facing_unlocked,treasury_emitted_conservative,liquidity_emitted_conservative,circulating_conservative,treasury_emitted_base,liquidity_emitted_base,circulating_base,treasury_emitted_aggressive,liquidity_emitted_aggressive,circulating_aggressive
0,0.0,0.0,7000000.0,37500000.0,6000000.0,50500000.0,0.0,0.0,50500000.0,0.0,0.0,50500000.0,0.0,0.0,50500000.0
1,0.0,0.0,12250000.0,50000000.0,6000000.0,68250000.0,0.0,0.0,68250000.0,1000000.0,833333.3333333334,70083333.33333333,2000000.0,1666666.6666666667,71916666.66666667
2,0.0,0.0,17500000.0,62500000.0,6000000.0,86000000.0,0.0,0.0,86000000.0,2000000.0,1666666.6666666667,89666666.66666667,4000000.0,3333333.3333333335,93333333.33333333
3,0.0,0.0,22750000.0,75000000.0,6000000.0,103750000.0,0.0,0.0,103750000.0,3000000.0,2500000.0,109250000.0,6000000.0,5000000.0,114750000.0
4,0.0,0.0,28000000.0,87500000.0,6000000.0,121500000.0,0.0,0.0,121500000.0,4000000.0,3333333.3333333335,128833333.33333333,8000000.0,6666666.666666667,136166666.66666666
5,0.0,0.0,33250000.0,100000000.0,6000000.0,139250000.0,0.0,0.0,139250000.0,5000000.0,4166666.6666666665,148416666.66666666,10000000.0,8333333.333333333,157583333.33333334
6,0.0,0.0,38500000.0,112500000.0,15000000.0,166000000.0,0.0,0.0,166000000.0,6000000.0,5000000.0,177000000.0,12000000.0,10000000.0,188000000.0
7,0.0,2083333.3333333333,43750000.0,125000000.0,15000000.0,185833333.33333334,0.0,0.0,185833333.33333334,7000000.0,5833333.333333333,198666666.6666667,14000000.0,11666666.666666666,211500000.0
8,0.0,4166666.6666666665,49000000.0,137500000.0,15000000.0,205666666.66666666,0.0,0.0,205666666.66666666,8000000.0,6666666.666666667,220333333.3333333,16000000.0,13333333.333333334,235000000.0
9,0.0,6250000.0,54250000.0,150000000.0,15000000.0,225500000.0,0.0,0.0,225500000.0,9000000.0,7500000.0,242000000.0,18000000.0,15000000.0,258500000.0
10,0.0,8333333.333333333,59500000.0,150000000.0,15000000.0,232833333.3333333,0.0,0.0,232833333.3333333,10000000.0,8333333.333333333,251166666.66666666,20000000.0,16666666.666666666,269500000.0
11,0.0,10416666.666666668,64750000.0,150000000.0,15000000.0,240166666.6666667,0.0,0.0,240166666.6666667,11000000.0,9166666.666666666,260333333.33333334,22000000.0,18333333.333333332,280500000.0
12,0.0,12500000.0,70000000.0,150000000.0,30000000.0,262500000.0,0.0,0.0,262500000.0,12000000.0,10000000.0,284500000.0,24000000.0,20000000.0,306500000.0
13,5555555.555555555,14583333.333333334,70000000.0,150000000.0,30000000.0,270138888.8888889,0.0,0.0,270138888.8888889,13000000.0,10833333.333333334,293972222.2222222,26000000.0,21666666.666666668,317805555.5555556
14,11111111.11111111,16666666.666666666,70000000.0,150000000.0,30000000.0,277777777.7777778,0.0,0.0,277777777.7777778,14000000.0,11666666.666666666,303444444.4444445,28000000.0,23333333.333333332,329111111.1111111
15,16666666.666666666,18750000.0,70000000.0,150000000.0,30000000.0,285416666.6666666,0.0,0.0,285416666.6666666,15000000.0,12500000.0,312916666.6666666,30000000.0,25000000.0,340416666.6666666
16,22222222.22222222,20833333.333333336,70000000.0,150000000.0,30000000.0,293055555.5555556,0.0,0.0,293055555.5555556,16000000.0,13333333.333333334,322388888.8888889,32000000.0,26666666.666666668,351722222.22222227
17,27777777.77777778,22916666.666666664,70000000.0,150000000.0,30000000.0,300694444.4444444,0.0,0.0,300694444.4444444,17000000.0,14166666.666666666,331861111.1111111,34000000.0,28333333.333333332,363027777.77777773
18,33333333.333333332,25000000.0,70000000.0,150000000.0,30000000.0,308333333.3333333,0.0,0.0,308333333.3333333,18000000.0,15000000.0,341333333.3333333,36000000.0,30000000.0,374333333.3333333
19,38888888.88888889,27083333.333333332,70000000.0,150000000.0,30000000.0,315972222.2222222,0.0,0.0,315972222.2222222,19000000.0,15833333.333333332,350805555.5555555,38000000.0,31666666.666666664,385638888.8888889
20,44444444.44444444,29166666.666666668,70000000.0,150000000.0,30000000.0,323611111.1111111,0.0,0.0,323611111.1111111,20000000.0,16666666.666666666,360277777.7777778,40000000.0,33333333.333333332,396944444.4444444
21,50000000.0,31250000.0,70000000.0,150000000.0,30000000.0,331250000.0,0.0,0.0,331250000.0,21000000.0,17500000.0,369750000.0,42000000.0,35000000.0,408250000.0
22,55555555.55555556,33333333.333333332,70000000.0,150000000.0,30000000.0,338888888.8888889,0.0,0.0,338888888.8888889,22000000.0,18333333.333333332,379222222.2222222,44000000.0,36666666.666666664,419555555.5555556
23,61111111.11111112,35416666.66666667,70000000.0,150000000.0,30000000.0,346527777.7777778,0.0,0.0,346527777.7777778,23000000.0,19166666.666666668,388694444.4444445,46000000.0,38333333.333333336,430861111.1111111
24,66666666.666666664,37500000.0,70000000.0,150000000.0,30000000.0,354166666.6666666,0.0,0.0,354166666.6666666,24000000.0,20000000.0,398166666.6666666,48000000.0,40000000.0,442166666.6666666
25,72222222.22222222,39583333.33333333,70000000.0,150000000.0,30000000.0,361805555.5555556,0.0,0.0,361805555.5555556,25000000.0,20833333.333333336,407638888.8888889,50000000.0,41666666.66666667,453472222.22222227
26,77777777.77777778,41666666.66666667,70000000.0,150000000.0,30000000.0,369444444.4444444,0.0,0.0,369444444.4444444,26000000.0,21666666.666666668,417111111.1111111,52000000.0,43333333.333333336,464777777.77777773
27,83333333.33333334,43750000.0,70000000.0,150000000.0,30000000.0,377083333.3333334,0.0,0.0,377083333.3333334,27000000.0,22500000.0,426583333.3333334,54000000.0,45000000.0,476083333.3333334
28,88888888.88888888,45833333.33333333,70000000.0,150000000.0,30000000.0,384722222.2222222,0.0,0.0,384722222.2222222,28000000.0,23333333.333333332,436055555.5555555,56000000.0,46666666.666666664,487388888.8888889
29,94444444.44444445,47916666.66666667,70000000.0,150000000.0,30000000.0,392361111.1111111,0.0,0.0,392361111.1111111,29000000.0,24166666.666666668,445527777.7777778,58000000.0,48333333.333333336,498694444.4444444
30,100000000.0,50000000.0,70000000.0,150000000.0,30000000.0,400000000.0,0.0,0.0,400000000.0,30000000.0,25000000.0,455000000.0,60000000.0,50000000.0,510000000.0
31,105555555.55555555,50000000.0,70000000.0,150000000.0,30000000.0,405555555.5555556,0.0,0.0,405555555.5555556,31000000.000000004,25833333.333333336,462388888.8888889,62000000.00000001,51666666.66666667,519222222.22222227
32,111111111.11111112,50000000.0,70000000.0,150000000.0,30000000.0,411111111.1111111,0.0,0.0,411111111.1111111,32000000.0,26666666.666666668,469777777.7777778,64000000.0,53333333.333333336,528444444.4444444
33,116666666.66666667,50000000.0,70000000.0,150000000.0,30000000.0,416666666.6666667,0.0,0.0,416666666.6666667,33000000.000000004,27500000.000000004,477166666.6666667,66000000.00000001,55000000.00000001,537666666.6666667
34,122222222.22222224,50000000.0,70000000.0,150000000.0,30000000.0,422222222.2222222,0.0,0.0,422222222.2222222,34000000.0,28333333.333333332,484555555.5555555,68000000.0,56666666.666666664,546888888.8888888
35,127777777.77777776,50000000.0,70000000.0,150000000.0,30000000.0,427777777.7777778,0.0,0.0,427777777.7777778,35000000.0,29166666.666666668,491944444.4444445,70000000.0,58333333.333333336,556111111.1111112
36,133333333.33333333,50000000.0,70000000.0,150000000.0,30000000.0,433333333.3333333,0.0,0.0,433333333.3333333,36000000.0,30000000.0,499333333.3333333,72000000.0,60000000.0,565333333.3333333
37,138888888.8888889,50000000.0,70000000.0,150000000.0,30000000.0,438888888.8888889,0.0,0.0,438888888.8888889,37000000.0,30833333.333333336,506722222.2222222,74000000.0,61666666.66666667,574555555.5555556
38,144444444.44444445,50000000.0,70000000.0,150000000.0,30000000.0,444444444.4444444,0.0,0.0,444444444.4444444,38000000.0,31666666.666666664,514111111.1111111,76000000.0,63333333.33333333,583777777.7777778
39,150000000.0,50000000.0,70000000.0,150000000.0,30000000.0,450000000.0,0.0,0.0,450000000.0,39000000.0,32500000.0,521500000.0,78000000.0,65000000.0,593000000.0
40,155555555.55555555,50000000.0,70000000.0,150000000.0,30000000.0,455555555.5555556,0.0,0.0,455555555.5555556,40000000.0,33333333.333333332,528888888.8888889,80000000.0,66666666.666666664,602222222.2222222
41,161111111.1111111,50000000.0,70000000.0,150000000.0,30000000.0,461111111.1111111,0.0,0.0,461111111.1111111,41000000.0,34166666.666666664,536277777.7777778,82000000.0,68333333.33333333,611444444.4444445
42,166666666.6666667,50000000.0,70000000.0,150000000.0,30000000.0,466666666.6666667,0.0,0.0,466666666.6666667,42000000.0,35000000.0,543666666.6666667,84000000.0,70000000.0,620666666.6666667
43,172222222.22222224,50000000.0,70000000.0,150000000.0,30000000.0,472222222.2222222,0.0,0.0,472222222.2222222,43000000.0,35833333.333333336,551055555.5555556,86000000.0,71666666.66666667,629888888.8888888
44,177777777.77777776,50000000.0,70000000.0,150000000.0,30000000.0,477777777.7777778,0.0,0.0,477777777.7777778,44000000.0,36666666.666666664,558444444.4444444,88000000.0,73333333.33333333,639111111.1111112
45,183333333.3333333,50000000.0,70000000.0,150000000.0,30000000.0,483333333.3333333,0.0,0.0,483333333.3333333,45000000.0,37500000.0,565833333.3333333,90000000.0,75000000.0,648333333.3333333
46,188888888.8888889,50000000.0,70000000.0,150000000.0,30000000.0,488888888.8888889,0.0,0.0,488888888.8888889,46000000.0,38333333.333333336,573222222.2222222,92000000.0,76666666.66666667,657555555.5555555
47,194444444.44444445,50000000.0,70000000.0,150000000.0,30000000.0,494444444.4444444,0.0,0.0,494444444.4444444,47000000.0,39166666.666666664,580611111.111111,94000000.0,78333333.33333333,666777777.7777778
48,200000000.0,50000000.0,70000000.0,150000000.0,30000000.0,500000000.0,0.0,0.0,500000000.0,48000000.0,40000000.0,588000000.0,96000000.0,80000000.0,676000000.0
49,200000000.0,50000000.0,70000000.0,150000000.0,30000000.0,500000000.0,0.0,0.0,500000000.0,49000000.0,40833333.333333336,589833333.3333334,98000000.0,81666666.66666667,679666666.6666666
50,200000000.0,50000000.0,70000000.0,150000000.0,30000000.0,500000000.0,0.0,0.0,500000000.0,50000000.0,41666666.66666667,591666666.6666666,100000000.0,83333333.33333334,683333333.3333334
51,200000000.0,50000000.0,70000000.0,150000000.0,30000000.0,500000000.0,0.0,0.0,500000000.0,51000000.0,42500000.0,593500000.0,102000000.0,85000000.0,687000000.0
52,200000000.0,50000000.0,70000000.0,150000000.0,30000000.0,500000000.0,0.0,0.0,500000000.0,52000000.0,43333333.333333336,595333333.3333334,104000000.0,86666666.66666667,690666666.6666666
53,200000000.0,50000000.0,70000000.0,150000000.0,30000000.0,500000000.0,0.0,0.0,500000000.0,53000000.0,44166666.666666664,597166666.6666666,106000000.0,88333333.33333333,694333333.3333334
54,200000000.0,50000000.0,70000000.0,150000000.0,30000000.0,500000000.0,0.0,0.0,500000000.0,54000000.0,45000000.0,599000000.0,108000000.0,90000000.0,698000000.0
55,200000000.0,50000000.0,70000000.0,150000000.0,30000000.0,500000000.0,0.0,0.0,500000000.0,55000000.0,45833333.33333333,600833333.3333334,110000000.0,91666666.66666666,701666666.6666666
56,200000000.0,50000000.0,70000000.0,150000000.0,30000000.0,500000000.0,0.0,0.0,500000000.0,56000000.0,46666666.666666664,602666666.6666666,112000000.0,93333333.33333333,705333333.3333334
57,200000000.0,50000000.0,70000000.0,150000000.0,30000000.0,500000000.0,0.0,0.0,500000000.0,57000000.0,47500000.0,604500000.0,114000000.0,95000000.0,709000000.0
58,200000000.0,50000000.0,70000000.0,150000000.0,30000000.0,500000000.0,0.0,0.0,500000000.0,58000000.0,48333333.333333336,606333333.3333334,116000000.0,96666666.66666667,712666666.6666666
59,200000000.0,50000000.0,70000000.0,150000000.0,30000000.0,500000000.0,0.0,0.0,500000000.0,59000000.0,49166666.666666664,608166666.6666666,118000000.0,98333333.33333333,716333333.3333334
60,200000000.0,50000000.0,70000000.0,150000000.0,30000000.0,500000000.0,0.0,0.0,500000000.0,60000000.0,50000000.0,610000000.0,120000000.0,100000000.0,720000000.0
