scenario,month,price_usd,fdv_usd,market_cap_usd
Bear,0,0.15,150000000.0,7575000.0
Bear,1,0.1493602021833659,149360202.1833659,10467660.836350894
Bear,2,0.14872313330837292,148723133.3083729,13335507.619984105
Bear,3,0.14808878173521506,148088781.73521507,16178699.404572245
Bear,4,0.14745713587373377,147457135.87373376,18997394.338399366
Bear,5,0.14682818418320623,146828184.18320623,21791749.669190858
Bear,6,0.14620191517213443,146201915.17213443,25877738.985467795
Bear,7,0.1455783173980354,145578317.3980354,28921559.0564097
Bear,8,0.1449573794672319,144957379.4672319,31938942.60928009
Bear,9,0.14433909003464432,144339090.0346443,34930059.78838392
Bear,10,0.14372343780358351,143723437.8035835,36098536.79500006
Bear,11,0.14311041152554432,143110411.52554432,37256410.46715004
Bear,12,0.1425,142500000.0,40541250.0
Bear,13,0.1418921920741976,141892192.0741976,41712363.02003425
Bear,14,0.14128697664295428,141286976.6429543,42872748.13465647
Bear,15,0.1406843426484543,140684342.6484543,44022475.553745486
Bear,16,0.14008427908004706,140084279.08004707,45161615.08341739
Bear,17,0.1394867749740459,139486774.9740459,46290236.1281924
Bear,18,0.1388918194135277,138891819.4135277,47408407.69315079
Bear,19,0.13829940152813364,138299401.52813363,48516198.38607776
Bear,20,0.13770951049387029,137709510.4938703,49613676.41959716
Bear,21,0.13712213553291208,137122135.53291208,50700909.613294244
Bear,22,0.13653726591340434,136537265.91340435,51777965.395827666
Bear,23,0.1359548909492671,135954890.94926712,52844910.80703041
Bear,24,0.135375,135375000.0,53901812.49999999
Bear,25,0.1347975824704877,134797582.4704877,54948736.74317797
Bear,26,0.13422262781080654,134222627.81080654,55985749.42241864
Bear,27,0.1336501255160316,133650125.5160316,57012916.043047145
Bear,28,0.13308006512604473,133080065.12604472,58030301.73190694
Bear,29,0.1325124362253436,132512436.22534359,59037971.23939683
Bear,30,0.13194722844285134,131947228.44285133,60035988.941497356
Bear,31,0.13138443145172696,131384431.45172696,60750701.27626242
Bear,32,0.13082403496917677,130824034.96917677,61458224.42774215
Bear,33,0.13026602875626647,130266028.75626647,62158606.72153182
Bear,34,0.12971040261773412,129710402.61773412,62851896.20177094
Bear,35,0.12915714640180373,129157146.40180373,63538140.63266512
Bear,36,0.12860624999999998,128606249.99999997,64217387.499999985
Bear,37,0.12805770334696331,128057703.34696332,64889684.01264735
Bear,38,0.1275114964202662,127511496.42026621,65555077.104063526
Bear,39,0.12696761924022998,126967619.24022998,66213613.43377993
Bear,40,0.12642606186974245,126426061.86974245,66865339.388886005
Bear,41,0.1258868144140764,125886814.4140764,67510301.08550441
Bear,42,0.12534986702070874,125349867.02070874,68148544.37025866
Bear,43,0.12481520987914059,124815209.87914059,68780114.82173309
Bear,44,0.12428283322071791,124282833.2207179,69405057.75192535
Bear,45,0.12375272731845315,123752727.31845315,70023418.2076914
Bear,46,0.1232248824868474,123224882.4868474,70635240.97218286
Bear,47,0.12269928908171354,122699289.08171354,71240570.56627712
Bear,48,0.12217593749999997,122175937.49999997,71839451.24999999
Bear,49,0.12165481817961514,121654818.17961514,71756066.922943
Bear,50,0.1211359215992529,121135921.59925291,71672086.94622463
Bear,51,0.1206192382782185,120619238.2782185,71587517.91812268
Bear,52,0.12010475877625534,120104758.77625534,71502366.39146402
Bear,53,0.11959247369337259,119592473.69337259,71416638.87389232
Bear,54,0.11908237366967332,119082373.66967332,71330341.82813431
Bear,55,0.11857444938518356,118574449.38518356,71243481.67226446
Bear,56,0.11806869155968203,118068691.55968203,71156064.77996837
Bear,57,0.1175650909525305,117565090.9525305,71068097.48080468
Bear,58,0.11706363836250504,117063638.36250503,70979586.06046556
Bear,59,0.11656432462762786,116564324.62762786,70890536.76103568
Bear,60,0.11606714062499995,116067140.62499996,70800955.78124997
Base,0,0.4,400000000.0,20200000.0
Base,1,0.4046859667679414,404685966.76794136,28361741.50431989
Base,2,0.40942682924725826,409426829.24725825,36711939.02250416
Base,3,0.4142232305366489,414223230.53664887,45253887.93612889
Base,4,0.41907582126865894,419075821.26865894,53990934.97344556
Base,5,0.42398525969794054,423985259.6979405,62926478.96016934
Base,6,0.4289522117905444,428952211.7905444,75924541.48692636
Base,7,0.43397735131425785,433977351.31425786,86216833.79443257
Base,8,0.4390613599300024,439061359.9300024,96739852.97124386
Base,9,0.44420492728430017,444204927.28430015,107497592.40280063
Base,10,0.44940875110282524,449408751.1028252,112876497.98532628
Base,11,0.45467353728504983,454673537.28504986,118366677.53987464
Base,12,0.45999999999999996,459999999.99999994,130869999.99999999
Base,13,0.46538886178313255,465388861.78313255,136811397.8958581
Base,14,0.47084085363434697,470840853.63434696,142874041.2528224
Base,15,0.47635671511714617,476356715.1171462,149059955.4387403
Base,16,0.48193719445895766,481937194.4589577,155371196.63585174
Base,17,0.4875830486526316,487583048.6526316,161809852.28480527
Base,18,0.4932950435591259,493295043.5591259,168378041.5348483
Base,19,0.4990739540113965,499073954.01139647,175077915.70027572
Base,20,0.5049205639195027,504920563.9195027,181911658.72322083
Base,21,0.5108356663769452,510835666.3769452,188881487.6428755
Base,22,0.5168200637682488,516820063.76824886,195989653.0712259
Base,23,0.5228745678778072,522874567.8778072,203238439.67539322
Base,24,0.5289999999999999,528999999.99999994,210630166.6666666
Base,25,0.5351971910506024,535197191.0506024,218167188.29632193
Base,26,0.541466981679499,541466981.679499,225851894.35831547
Base,27,0.547810222384718,547810222.384718,233686710.69894764
Base,28,0.5542277736278013,554227773.6278013,241674099.73358956
Base,29,0.5607205059505262,560720505.9505262,249816560.9705692
Base,30,0.5672893000929948,567289300.0929948,258116631.54231265
Base,31,0.573935047113106,573935047.1131059,265381188.72902116
Base,32,0.5806586485074281,580658648.507428,272780529.54326737
Base,33,0.5874610163334868,587461016.3334868,280316814.96046215
Base,34,0.5943430733334862,594343073.3334862,287992238.0897037
Base,35,0.6013057530594783,601305753.0594783,295809024.6300934
Base,36,0.60835,608350000.0,303769433.3333333
Base,37,0.6154767697081927,615476769.7081927,311875756.4726903
Base,38,0.6226870289314238,622687028.9314238,320130320.3184109
Base,39,0.6299817557424257,629981755.7424257,328535485.619675
Base,40,0.6373619396719715,637361939.6719716,337093648.09317607
Base,41,0.6448285818431052,644828581.8431052,345807238.9184164
Base,42,0.652382695106944,652382695.106944,354678725.2398086
Base,43,0.6600253041800719,660025304.1800718,363710610.6756741
Base,44,0.6677574457835422,667757445.7835423,372905435.83423144
Base,45,0.6755801687835099,675580168.7835099,382265778.8366693
Base,46,0.6834945343335092,683494534.3335092,391794255.8473971
Base,47,0.6915016160184,691501616.0184,401493521.6115721
Base,48,0.6996024999999998,699602499.9999998,411366269.9999999
Base,49,0.7077982851644214,707798285.1644214,417483021.86614794
Base,50,0.7160900832711373,716090083.2711374,423686632.6020896
Base,51,0.7244790191037894,724479019.1037894,429978297.838099
Base,52,0.7329662306227671,732966230.6227671,436359229.29742074
Base,53,0.741552869119571,741552869.119571,442830655.0092371
Base,54,0.7502400993729855,750240099.3729855,449393819.52441835
Base,55,0.7590290998070826,759029099.8070825,456049984.1340888
Base,56,0.7679210626510735,767921062.6510736,462800427.0910469
Base,57,0.7769171941010362,776917194.1010362,469646443.8340764
Base,58,0.7860187144835353,786018714.4835353,476589347.2151836
Base,59,0.7952268584211599,795226858.4211599,483630467.7298021
Base,60,0.8045428749999998,804542874.9999998,490771153.7499999
Bull,0,1.0,1000000000.0,50500000.0
Bull,1,1.0253240572484439,1025324057.2484438,71858127.67882843
Bull,2,1.0512894223724103,1051289422.3724103,94265618.20605946
Bull,3,1.0779123358892526,1077912335.8892527,117761922.69590084
Bull,4,1.105209449592116,1105209449.592116,142387817.42245096
Bull,5,1.133197836965108,1133197836.965108,168185445.6362381
Bull,6,1.161895003862225,1161895003.862225,205655415.68361384
Bull,7,1.191318899456713,1191318899.456713,236675354.692067
Bull,8,1.221487927467708,1221487927.4677079,269134506.685385
Bull,9,1.2524209576711833,1252420957.6711833,303085871.7564264
Bull,10,1.2841373377023992,1284137337.7023993,322532494.6529193
Bull,11,1.3166569051572392,1316656905.1572392,342769680.9759346
Bull,12,1.35,1350000000.0,384075000.0
Bull,13,1.3841874772853993,1384187477.2853992,406912668.6697605
Bull,14,1.419240720202754,1419240720.202754,430660711.87485796
Bull,15,1.4551816534504913,1455181653.4504914,455350592.3922162
Bull,16,1.4920327569493568,1492032756.9493568,481014782.69872874
Bull,17,1.5298170799028958,1529817079.902896,507686795.9333305
Bull,18,1.568558255214004,1568558255.214004,535401217.77971333
Bull,19,1.6082805142665626,1608280514.2665627,564193739.296456
Bull,20,1.649008702081406,1649008702.0814059,594101190.7221066
Bull,21,1.6907682928560976,1690768292.8560977,625161576.2835422
Bull,22,1.7335854058982392,1733585405.8982391,657414110.0367434
Bull,23,1.777486821962273,1777486821.9622731,690899252.7699469
Bull,24,1.8225000000000002,1822500000.0000002,725658750.0
Bull,25,1.8686530943352893,1868653094.3352892,761735671.0936214
Bull,26,1.9159749722737178,1915974972.2737179,799174449.5461707
Bull,27,1.9644952321581632,1964495232.1581633,838020924.4514699
Bull,28,2.014244221881632,2014244221.8816319,878322383.1971626
Bull,29,2.0652530578689094,2065253057.8689094,920127605.4210955
Bull,30,2.1175536445389054,2117553644.5389054,963486908.2652019
Bull,31,2.17117869425986,2171178694.25986,1003928904.0180453
Bull,32,2.226161747809898,2226161747.809898,1045801318.8600276
Bull,33,2.282537195355732,2282537195.355732,1089150665.050577
Bull,34,2.3403402979626233,2340340297.962623,1134024893.2683332
Bull,35,2.399607209649069,2399607209.649069,1180473435.6356947
Bull,36,2.4603750000000004,2460375000.0000005,1228547250.0000002
Bull,37,2.5226816773526406,2522681677.3526406,1278298865.507413
Bull,38,2.5865662125695192,2586566212.569519,1329782429.506574
Bull,39,2.6520685634135206,2652068563.413521,1383053755.820151
Bull,40,2.719229699540203,2719229699.540203,1438170374.423485
Bull,41,2.788091628123028,2788091628.123028,1495191582.570644
Bull,42,2.858697420127523,2858697420.127523,1554178497.4093301
Bull,43,2.931091237250811,2931091237.250811,1615194110.1272664
Bull,44,3.0053183595433626,3005318359.5433626,1678303341.6738822
Bull,45,3.0814252137302383,3081425213.7302384,1743573100.1023595
Bull,46,3.1594594022495412,3159459402.2495413,1811072339.5783758
Bull,47,3.239469733026243,3239469733.0262427,1880872121.1031811
Bull,48,3.321506250000001,3321506250.000001,1953045675.0000005
Bull,49,3.405620264426065,3405620264.426065,2008748352.633974
Bull,50,3.4918643869688517,3491864386.9688516,2066019762.2899039
Bull,51,3.580292560608253,3580292560.608253,2124903634.7209983
Bull,52,3.6709600943792737,3670960094.379274,2185444909.520461
Bull,53,3.763923697966088,3763923697.9660883,2247689768.302082
Bull,54,3.8592415171721557,3859241517.172156,2311685668.7861214
Bull,55,3.956973170288595,3956973170.2885947,2377481379.8150644
Bull,56,4.05717978538354,4057179785.38354,2445127017.32448
Bull,57,4.159924038535822,4159924038.535822,2514674081.294904
Bull,58,4.265270193036881,4265270193.036881,2586175493.7113624
Bull,59,4.3732841395854285,4373284139.585428,2659685637.5578713
Bull,60,4.484033437500002,4484033437.500002,2735260396.875001
